SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22003,2544,0020300360,"Dec 19, 2003",CLE @ PHI,W,42,14,24,0.583,5,7,0.714,3,3,1.0,1,3,4,5,4,0,4,1,36,9,0
22003,2544,0020300348,"Dec 17, 2003",CLE vs. HOU,L,36,7,19,0.368,2,4,0.5,1,2,0.5,0,1,1,3,0,0,2,2,17,-9,0
22003,2544,0020300334,"Dec 15, 2003",CLE @ IND,L,44,10,16,0.625,0,3,0.0,7,8,0.875,1,3,4,6,3,3,6,1,27,-12,0
22003,2544,0020300322,"Dec 13, 2003",CLE vs. BOS,L,45,10,20,0.5,1,5,0.2,16,18,0.889,1,2,3,4,0,0,2,2,37,-2,0
22003,2544,0020300306,"Dec 11, 2003",CLE vs. DET,W,43,8,21,0.381,1,3,0.333,6,8,0.75,1,2,3,9,1,1,4,3,23,9,0
22003,2544,0020300289,"Dec 09, 2003",CLE vs. TOR,L,37,7,16,0.438,0,0,0.0,4,4,1.0,0,5,5,3,1,0,2,2,18,-2,0
22003,2544,0020300273,"Dec 06, 2003",CLE vs. ATL,W,36,4,12,0.333,0,2,0.0,0,0,0.0,1,5,6,5,2,1,3,2,8,-5,0
22003,2544,0020300255,"Dec 03, 2003",CLE @ LAC,L,34,2,13,0.154,0,3,0.0,0,0,0.0,4,2,6,8,2,0,5,2,4,3,0
22003,2544,0020300245,"Dec 02, 2003",CLE @ DEN,L,33,6,19,0.316,2,3,0.667,5,7,0.714,3,3,6,5,2,0,2,4,19,-12,0
22003,2544,0020300227,"Nov 29, 2003",CLE vs. MEM,L,55,14,28,0.5,3,6,0.5,2,3,0.667,2,14,16,7,1,1,8,1,33,-10,0
22003,2544,0020300214,"Nov 28, 2003",CLE @ DET,L,36,2,8,0.25,0,2,0.0,2,3,0.667,0,2,2,7,0,0,4,3,6,-10,0
22003,2544,0020300203,"Nov 26, 2003",CLE @ NOH,L,39,5,17,0.294,1,4,0.25,4,4,1.0,2,6,8,9,0,0,4,1,15,-13,0
22003,2544,0020300177,"Nov 22, 2003",CLE @ ATL,L,42,3,16,0.188,0,1,0.0,9,10,0.9,2,4,6,4,2,1,3,1,15,-6,0
22003,2544,0020300166,"Nov 21, 2003",CLE vs. MIN,L,35,8,19,0.421,0,2,0.0,3,3,1.0,2,7,9,2,1,0,1,4,19,-3,0
22003,2544,0020300153,"Nov 19, 2003",CLE @ WAS,L,39,10,18,0.556,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,2,28,-5,0
22003,2544,0020300144,"Nov 18, 2003",CLE vs. LAC,W,39,6,16,0.375,0,2,0.0,2,4,0.5,2,5,7,8,0,1,3,2,14,1,0
22003,2544,0020300130,"Nov 15, 2003",CLE vs. PHI,W,47,10,19,0.526,0,1,0.0,2,4,0.5,0,5,5,8,1,2,5,2,22,8,0
22003,2544,0020300115,"Nov 14, 2003",CLE @ BOS,L,35,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,3,10,-1,0
22003,2544,0020300106,"Nov 12, 2003",CLE @ MIA,L,42,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,3,18,-4,0
22003,2544,0020300090,"Nov 10, 2003",CLE vs. NYK,W,34,7,12,0.583,3,3,1.0,0,0,0.0,1,4,5,4,1,1,2,0,17,20,0
22003,2544,0020300078,"Nov 08, 2003",CLE vs. WAS,W,45,8,19,0.421,0,0,0.0,1,4,0.25,5,3,8,9,1,1,2,1,17,14,0
22003,2544,0020300068,"Nov 07, 2003",CLE @ IND,L,44,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,2,23,-7,0
22003,2544,0020300057,"Nov 05, 2003",CLE vs. DEN,L,41,3,11,0.273,0,2,0.0,1,1,1.0,2,9,11,7,2,3,2,1,7,-3,0
22003,2544,0020300038,"Nov 01, 2003",CLE @ POR,L,39,3,12,0.25,0,1,0.0,2,2,1.0,0,4,4,6,2,0,2,3,8,-21,0
22003,2544,0020300018,"Oct 30, 2003",CLE @ PHX,L,41,8,17,0.471,1,5,0.2,4,7,0.571,2,10,12,8,1,0,7,1,21,-3,0
22003,2544,0020300014,"Oct 29, 2003",CLE @ SAC,L,42,12,20,0.6,0,2,0.0,1,3,0.333,2,4,6,9,4,0,2,3,25,-9,0
